2025-10-21 13:08:19,932 INFO    MainThread:29743 [wandb_setup.py:_flush():81] Current SDK version is 0.21.3
2025-10-21 13:08:19,933 INFO    MainThread:29743 [wandb_setup.py:_flush():81] Configure stats pid to 29743
2025-10-21 13:08:19,933 INFO    MainThread:29743 [wandb_setup.py:_flush():81] Loading settings from /home/dtay_dev/.config/wandb/settings
2025-10-21 13:08:19,933 INFO    MainThread:29743 [wandb_setup.py:_flush():81] Loading settings from /home/dtay_dev/d501/lesson-5-final-pipeline-release-and-deploy/exercises/exercise_14/starter/evaluate/wandb/settings
2025-10-21 13:08:19,933 INFO    MainThread:29743 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-21 13:08:19,933 INFO    MainThread:29743 [wandb_init.py:setup_run_log_directory():686] Logging user logs to /home/dtay_dev/d501/lesson-5-final-pipeline-release-and-deploy/exercises/exercise_14/starter/evaluate/wandb/run-20251021_130819-dy5y3zzo/logs/debug.log
2025-10-21 13:08:19,933 INFO    MainThread:29743 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to /home/dtay_dev/d501/lesson-5-final-pipeline-release-and-deploy/exercises/exercise_14/starter/evaluate/wandb/run-20251021_130819-dy5y3zzo/logs/debug-internal.log
2025-10-21 13:08:19,933 INFO    MainThread:29743 [wandb_init.py:init():813] calling init triggers
2025-10-21 13:08:19,933 INFO    MainThread:29743 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-10-21 13:08:19,933 INFO    MainThread:29743 [wandb_init.py:init():854] starting backend
2025-10-21 13:08:20,148 INFO    MainThread:29743 [wandb_init.py:init():857] sending inform_init request
2025-10-21 13:08:20,152 INFO    MainThread:29743 [wandb_init.py:init():865] backend started and connected
2025-10-21 13:08:20,154 INFO    MainThread:29743 [wandb_init.py:init():936] updated telemetry
2025-10-21 13:08:20,163 INFO    MainThread:29743 [wandb_init.py:init():960] communicating run to backend with 90.0 second timeout
2025-10-21 13:08:20,702 INFO    MainThread:29743 [wandb_init.py:init():1011] starting run threads in backend
2025-10-21 13:08:20,765 INFO    MainThread:29743 [wandb_run.py:_console_start():2494] atexit reg
2025-10-21 13:08:20,765 INFO    MainThread:29743 [wandb_run.py:_redirect():2342] redirect: wrap_raw
2025-10-21 13:08:20,765 INFO    MainThread:29743 [wandb_run.py:_redirect():2411] Wrapping output streams.
2025-10-21 13:08:20,765 INFO    MainThread:29743 [wandb_run.py:_redirect():2434] Redirects installed.
2025-10-21 13:08:20,769 INFO    MainThread:29743 [wandb_init.py:init():1057] run started, returning control to user process
2025-10-21 13:08:25,956 INFO    wandb-AsyncioManager-main:29743 [service_client.py:_forward_responses():84] Reached EOF.
2025-10-21 13:08:25,957 INFO    wandb-AsyncioManager-main:29743 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
